zone,x_upstream,y_upstream,x_core,y_core,x_downstream,y_downstream,l,l_over_xminusx0,b_over_a,detJ_upstream,traceJ_upstream,discJ_upstream,lambda1r_upstream,lambda1i_upstream,lambda2r_upstream,lambda2i_upstream,detJ_core,traceJ_core,discJ_core,lambda1r_core,lambda1i_core,lambda2r_core,lambda2i_core,detJ_downstream,traceJ_downstream,discJ_downstream,lambda1r_downstream,lambda1i_downstream,lambda2r_downstream,lambda2i_downstream,label
914,0.360769,-0.001951075,0.3922355,-0.00358003,0.396332,-0.004006965,0.035563,0.0939451935739089,0.130186070900801,-40196.389279474,16.0576136312865,161043.404073428,208.679874638261,0.0,-192.622261006975,0.0,56991.3905806139,37.2154693433449,-226580.57116401,18.6077346716724,238.002400809325,18.6077346716724,-238.002400809325,-8421.73281183219,-11.753122323773,33825.0671316863,-97.8345232039064,0.0,86.0814008801335,0.0,0
77,0.0453954,0.000188797,0.0488365,0.000391006,0.05272365,0.0001438535,0.0073282499999999,0.149374662718402,1.12962424806021,-6350119.06584457,-73.5301356079221,25405882.9442208,-2556.97750647956,0.0,2483.44737087164,0.0,11955431.1629816,-42.9871816481262,-47819876.7541403,-21.4935908240631,3457.59586830721,-21.4935908240631,-3457.59586830721,-3122460.52506689,71.4898827146331,12494952.9035981,1803.15497468278,0.0,-1731.66509196815,0.0,1
483,0.02674275,0.0002852035,0.0295511,0.0002852035,0.0327236,0.0002358795,0.00598085,0.201150734827343,1.12966688624993,-16691534.3942924,-75.0904384967831,66771776.1511232,-4123.24516390669,0.0,4048.15472540991,0.0,63299063.7851332,-177.837521738017,-253164628.956395,-88.9187608690085,7955.57397295121,-88.9187608690085,-7955.57397295121,-11330394.5414684,50.6488502600774,45324143.4719063,3391.48482950422,0.0,-3340.83597924414,0.0,1
3,0.117467,-0.000849364,0.1195845,-0.0007744065,0.120653,-0.0007028545,0.003186,0.0267596169998321,0.504604486422676,-244000.205540325,11.9778017004248,976144.289894875,499.988974204173,0.0,-488.011172503749,0.0,192790.352354458,-15.9805875279033,-770906.030240094,-7.99029376395168,439.006272802592,-7.99029376395168,-439.006272802592,-80592.4075363744,12.1310552228976,322516.792646319,-277.88728213267,0.0,290.018337355567,0.0,0
363,0.1249915,-0.000336875,0.1294375,-0.0002852035,0.131133,-0.0002852035,0.0061415,0.0479571458411828,0.381354026090873,-107100.942311842,-6.65393288051968,428448.044070148,-330.606680167733,0.0,323.952747287214,0.0,93759.8705281283,20.6900717809768,-374611.403042211,10.3450358904884,306.02753268383,10.3450358904884,-306.02753268383,-98270.2116673198,-46.1187312901024,395207.784045088,-337.387134083145,0.0,291.268402793043,0.0,0
1024,0.0649036,2e-05,0.06712455,-0.000447714,0.0776341,-0.0002358795,0.0127305,0.178626426552414,4.73200657376348,-1001579.25363708,101.163582141804,4016551.0849001,1052.64854095587,0.0,-951.484958814067,0.0,1014637.14219121,66.3054199198295,-4054152.1600541,33.1527099599148,1006.746263968,33.1527099599148,-1006.746263968,-735156.988635522,-18.9254669044672,2940986.12783964,-866.927911730576,0.0,848.002444826109,0.0,1
236,0.157851,-0.00128119,0.159806,-0.00128119,0.161119,-0.00118661,0.0032679999999999,0.0204909552622503,0.671611253196941,-110168.781906784,20.0570804821242,441077.414104601,342.096836719588,0.0,-322.039756237464,0.0,44560.7769151871,13.38877815683,-178063.848280216,6.69438907841501,210.988061439632,6.69438907841501,-210.988061439632,-18905.6960732653,-3.31412118681059,75633.767692302,-139.165030991763,0.0,135.850909804952,0.0,0
1172,0.04206725,0.0002358795,0.04508825,0.0002852035,0.0488365,0.0001438535,0.00676925,0.148932249769674,1.24073154584575,-6410076.5476543,83.0428234801049,25647202.3011487,2573.67475924632,0.0,-2490.63193576621,0.0,10759734.914729,-70.5797315034654,-43033958.1604168,-35.2898657517328,3280.01364937773,-35.2898657517328,-3280.01364937773,-3213770.96454823,126.822064400166,12871167.6942116,1857.23151473252,0.0,-1730.40945033235,0.0,1
360,0.21493,-0.001380275,0.236272,-0.00159281,0.267039,-0.00170672,0.052109,0.216233824167115,1.44161746790366,-164072.298475763,-8.40329112004343,656359.809204699,400.878534529272,0.0,-409.281825649315,0.0,293034.818815125,-3.16268637638171,-1172129.27267538,-1.58134318819086,541.3245959393,-1.58134318819086,-541.3245959393,-84168.2187285387,31.2992782092388,337652.519730574,306.189016698507,0.0,-274.889738489268,0.0,1
1341,0.164437,-0.00109633,0.1818025,-0.00251355,0.2060405,-0.00170672,0.0416035,0.224593936203953,1.39575595289511,-186319.780108051,27.2363861444331,746020.941162411,445.480712041625,0.0,-418.244325897192,0.0,493528.573184672,91.9773339700411,-1965654.46277445,45.9886669850206,701.008998297178,45.9886669850206,-701.008998297178,-232837.740742341,17.2005854776042,931646.823110137,491.209560964697,0.0,-474.008975487093,0.0,1
